id_usuario,ids_restaurante_favorito
350360,3271
350360,346
749025,87
749025,3671
749025,125
81952,2234
81952,2740
81952,2945
81952,6322
81952,6898
48777,3944
228466,10476
33736,13062
441128,11140
441128,14868
441128,2707
441128,4088
441128,48
441128,7873
441128,979
150430,12624
150430,13602
150430,6756
150430,2919
150430,15604
42197,1386
42197,1650
42197,166
42197,2166
42197,2589
42197,2969
42197,2988
42197,3259
42197,3610
42197,376
280868,1832
280868,6961
266280,126
266280,2762
266280,4439
266280,7832
10546,11274
10546,12788
10546,13528
10546,14480
10546,158
10546,1898
10546,2042
10546,2139
10546,3003
10546,3180
66152,1127
66152,3114
195150,5535
36887,2533
36887,490
36887,6622
398434,979
64320,6959
582,48
166538,2448
166538,2706
166538,3195
166538,3851
166538,755
166538,9590
272948,12274
272948,13332
272948,14078
272948,14150
272948,1733
272948,1755
272948,2740
272948,3829
272948,4035
272948,4072
33443,12694
33443,6318
33443,7774
33443,9088
31035,11832
31035,2106
31035,9754
649380,50
649380,7889
81448,4097
81448,4191
70257,6374
105440,2531
105440,4041
70212,10066
70212,1182
70212,11854
70212,1396
70212,1457
70212,2605
70212,2825
70212,2832
70212,3218
70212,364
277016,196
277016,3387
12090,8318
98378,7994
84494,10648
156464,3243
156464,7534
215804,9320
4090,10062
4090,152
4090,200
4090,2885
4090,2919
4090,3272
4090,3850
4090,3868
4090,6481
4090,9716
55711,1299
55711,1380
55711,2053
55711,2845
55711,3257
55711,3834
55711,3950
55711,4734
55711,6476
55711,738
614282,15402
614282,14868
614282,12988
614282,13624
614282,15080
614282,48
614282,50
614282,6481
614282,7874
70602,1103
71720,10154
175262,2007
175262,2116
175262,6331
175262,6684
175262,7701
45712,6114
45712,6328
45712,6556
45712,6697
45712,7878
45712,9874
45712,10126
45712,10158
45712,104
45712,1445
288554,11744
19037,10192
19037,10334
19037,10836
19037,11140
19037,11760
19037,12416
19037,12540
19037,12752
19037,12868
19037,12908
430152,7573
26844,10528
26844,2368
26844,2865
26844,6620
26844,6962
93510,11288
93510,12622
93510,3469
93510,512
98182,6116
98182,10142
98182,10158
98182,10180
98182,10322
98182,1059
98182,10766
98182,10770
98182,10934
98182,11014
107950,6318
107950,9136
261506,980
263562,7922
208062,10130
208062,104
208062,10410
208062,10450
208062,10976
208062,10998
208062,11224
208062,11310
208062,11420
208062,12390
103412,114
103412,6482
220950,10910
220950,237
220950,3423
220950,9602
56266,3089
50820,48
75601,10726
75601,13062
75601,2707
75601,2865
75601,3147
167086,12126
78791,1220
78791,125
78791,1518
78791,232
78791,3348
78791,372
78791,3914
78791,615
78791,6640
78791,799
29432,10112
29432,1253
29432,1386
29432,2862
29432,2970
29432,3026
29432,3336
29432,3610
29432,3995
29432,413
13384,1
13384,10046
13384,10094
13384,10138
13384,10168
13384,10508
13384,10766
13384,11140
13384,11652
13384,11766
15297,755
240540,11860
18390,1380
18390,1576
18390,1958
18390,8786
18390,1
18390,11342
18390,11488
143984,364
143984,4078
143984,1980
143984,1514
143984,12846
143984,6890
143984,8464
143984,1467
143984,14902
143984,154
713534,15198
376436,1085
376436,1935
376436,292
157706,2051
157706,7873
157706,9178
157706,9716
271600,9932
25747fc4-8a44-4eff-9bf7-bdd34d0b4357,6322
25747fc4-8a44-4eff-9bf7-bdd34d0b4357,42
478518,14138
17635,1380
17635,2042
17635,3343
17635,6000
80247,14576
80247,681
60239,3937
60239,5639
60239,639
60239,6416
60239,7058
79455,48
15936,11446
15936,11504
15936,15198
15936,200
15936,4103
15936,48
15936,5678
15936,6374
15936,6746
15936,7453
36184,6388
36184,9020
19324,10136
19324,10476
19324,11208
19324,1182
19324,13550
19324,14216
19324,1452
19324,3272
19324,3337
19324,35
2170,1457
2170,2115
2170,6697
2170,827
82191,11948
82191,14052
82191,2007
82191,2116
82191,237
82191,2397
82191,2605
82191,2740
82191,2845
82191,3498
237908,408
237908,10068
237908,10172
237908,10644
237908,2845
237908,2941
237908,3184
237908,3965
237908,3977
237908,3988
72493,1542
72493,1542
72493,6635
72493,6635
72493,6643
72493,758
127828,5639
242978,8450
91030,497
101054,2138
101054,35
101054,3824
304868,10226
304868,10504
304868,11948
304868,429
304868,7887
327060,9746
41707,10218
41707,11140
41707,11616
41707,12376
41707,12988
41707,13468
41707,13608
41707,13624
41707,14160
41707,14256
5169,217
5169,8050
74314,10450
74314,10726
74314,1151
74314,2862
74314,3807
74314,393
74314,5535
74314,5639
74314,6802
74314,7686
444482,2007
444482,2650
7926,125
7926,3116
7926,7058
7926,713
7926,813
7926,9996
128780,10108
128780,10206
128780,1021
128780,10384
128780,10878
128780,11642
128780,11728
128780,11954
128780,12702
128780,13062
308634,232
738884,125
738884,12624
738884,1756
738884,3147
109646,3352
77091,4010
49610,1070
49610,11504
49610,3109
49610,9460
49610,9606
75199,6961
30390,6492
71324,6802
290828,10554
290828,11090
290828,1319
290828,1320
290828,1469
290828,1535
290828,1542
290828,2845
290828,2909
290828,3211
238802,10650
238802,10900
238802,11296
238802,11850
238802,11942
238802,11948
238802,13328
238802,3611
238802,4195
238802,6382
78147,6809
78147,2070
78147,1031
78147,12908
78147,131
78147,13610
78147,2004
78147,2762
78147,2865
78147,3180
129142,7190
1807,11140
1807,11490
1807,11688
1807,1764
1807,2051
1807,2241
1807,3317
1807,3359
1807,3450
1807,4105
91224,497
260296,1187
260296,12134
260296,12274
260296,13334
260296,13410
260296,14486
260296,14514
260296,14928
260296,15106
260296,15136
46224,11038
62371,1105
62371,1182
62371,4043
62371,515
46011,1980
46011,2004
46011,362
46011,698
46011,42
46011,14496
46011,7498
255958,7875
76532,15684
76532,1182
76532,2138
76532,557
76532,755
76861,10088
76861,196
76861,206
76861,2605
76861,2970
76861,485
76861,7645
76861,86
76861,8796
76861,9134
84972,11412
84972,12788
84972,2934
84972,3896
84972,4471
84972,480
84972,6347
84972,7530
84972,7889
315654,10062
315654,12124
315654,12334
315654,13062
315654,13068
315654,13564
315654,13612
315654,1401
315654,14426
315654,14562
684646,1060
684646,1182
684646,136
684646,5535
684646,651
684646,7058
566146,10064
566146,10336
566146,10720
566146,12840
566146,13300
566146,13910
566146,14306
566146,14426
566146,14448
566146,1598
234910,11492
234910,13026
234910,13032
234910,13040
234910,13768
234910,6224
337146,6772
61195,3450
66627,282
37860,6224
30708,7594
15813,10450
15813,14404
15813,14440
15813,2589
15813,2845
15813,34
15813,3824
15813,3829
15813,3970
15813,7
56723,5591
56723,7201
78549,7340
35796,802
19814,11342
19814,2165
19814,3393
19814,3469
19814,6302
19814,6863
19814,7686
19814,8862
19814,9170
571052,13842
571052,7034
571052,7036
676236,8200
72271,10136
72271,10328
72271,11882
72271,12692
72271,12872
72271,12996
72271,13468
72271,13608
72271,14206
72271,154
56716,5133
56716,583
127812,9450
13131,2762
13131,2865
198408,7666
198408,158
198408,1980
198408,237
198408,2865
198408,3177
198408,5756
198408,6340
16734,12010
16734,253
16734,6888
16734,7191
280858,1650
280858,2265
280858,2761
280858,3929
280858,9588
47346,1182
47346,1182
47346,1650
47346,2139
47346,2471
47346,2630
47346,2734
47346,2969
47346,2988
47346,3199
62832,8394
139504,12812
139504,13530
139504,14276
139504,2865
139504,3155
139504,6862
139504,6937
73582,10108
73582,10158
73582,10322
73582,10370
73582,10436
73582,10450
73582,10516
73582,10688
73582,10766
73582,10922
85113,1031
85113,124
85113,125
85113,2138
85113,2215
85113,2265
85113,2644
85113,2646
85113,2988
85113,3829
46729,104
46729,1139
46729,1434
46729,1447
46729,1833
46729,1938
46729,2337
46729,2504
46729,2734
46729,311
418166,2082
97476,3990
42237,3102
493794,10338
493794,10910
493794,11412
493794,11998
493794,12460
493794,12582
493794,12642
493794,1421
493794,1859
493794,2088
34549,2399
34549,7245
4,5246
4,5535
4,6439
4,6888
4,90
4,1099
4,1374
4,1647
4,2970
4,3610
98222,1386
131114,7098
148454,2471
148454,2954
148454,587
148454,7745
148454,8038
148454,9580
227472,1467
227472,3672
227472,82
227472,9070
85816,650
16355,6116
576968,14866
576968,48
48268,10738
17939,1357
89408,7745
277386,6116
346074,1031
251186,2825
