id_usuario,id_usuario_seguido
19579,114408
19579,128080
34887,82845
66526,5016
66526,64213
66526,20399
174312,221508
12712,5016
3014,36392
385776,11744
429528,327882
204750,375824
204750,24644
204750,259098
204750,5016
204750,12712
204750,233780
204750,56357
8,11744
8,63776
8,7
8,4
153806,350360
c7336a67-2b47-4753-9d3b-8b568a6bc7a0,178650
48995,111640
285,138456
18153,11744
18153,18390
619116,710848
619116,711064
619116,318726
111094,51308
70751,11744
72893,221324
72893,361338
20990,74986
20990,34206
20990,233780
20990,5016
20990,54429
20990,4
71525,46178
83545,77796
14880,5016
81166,4899
81166,74284
131494,188076
78541,797
78541,45050
42678,28938
42678,5016
171902,65048
171902,12257
87232,24230
301708,61440
301708,28938
199396,10599
309318,453038
16865,25498
76816,37000
1357,46390
69819,16070
267786,28938
267786,82492
42315,19728
42315,46845
42315,22855
42315,4
42315,5016
42315,28938
42315,15773
42315,46390
120744,103358
215808,294600
4900,5016
4900,84443
4900,58162
4900,9918
4900,34206
103328,301948
89710,43152
97980,5016
495112,328094
58e6a1db61479,7680
58e6a1db61479,5016
58e6a1db61479,4
58e6a1db61479,11744
58e6a1db61479,28938
58e6a1db61479,233780
58e6a1db61479,7
117222,28938
61566,84443
61566,121466
61566,76598
61566,28938
61566,587186
61566,180356
61566,12712
61566,14020
61566,20167
61566,64218
6103,5016
61145,5016
61145,397106
61145,28938
1060,69913
137,80248
752465,62723
124328,82492
120246,298664
44601,28938
249496,269350
59419,76215
83241,199580
83241,7
105326,432586
651330,28938
256580,79639
13208,538174
13208,405824
13208,233780
13208,19728
13208,199580
13208,64701
13208,70957
13208,47954
13208,11744
13208,5016
406632,5016
400294,28938
89268,584b6e92d80cd
24928,76701
126792,270456
126792,46347
126792,54429
126792,126124
126792,8
126792,119530
126792,128836
126792,4
126792,128910
126792,11744
153528,161598
66955,353172
79240,474038
223114,138038
223114,257880
223114,24247
92222,72709
92222,797
191338,39893
60647,21773
60647,188118
60647,28938
8208,401658
64213,41057
64213,199580
64213,11744
64213,7
64213,4
64213,8
64213,69823
127326,46906
28409,78593
21443,34206
87280,87264
275684,32061
84383,128282
84383,80632
76078,185028
76078,45039
76078,144944
103358,7680
255430,291990
54564,30951
60956,89076
60956,40866
60956,145712
60956,104704
85890,6012
398778,5592
227458,34474
243640,5016
119426,176818
119426,173866
119426,143690
81282,124214
81282,5016
81282,86430
291228,56747
32e53470-fc72-4c28-a529-d1691b44d75e,11744
32e53470-fc72-4c28-a529-d1691b44d75e,233780
32e53470-fc72-4c28-a529-d1691b44d75e,28938
32e53470-fc72-4c28-a529-d1691b44d75e,5016
32e53470-fc72-4c28-a529-d1691b44d75e,4
87306,80820
66042,148454
33889,5016
501530,233780
56070,70623
18470,64682
132198,121162
58d188a7c393d,5016
264442,9688
41418,5016
41418,28938
631792,94472
608486,159308
77225,30026
41160,15498
41160,51279
41160,42673
41160,15570
41160,28938
290270,20752
290270,14619
290270,77117
290270,30951
540830,539852
3396,56223
91292,266062
39994,5016
39994,32061
36418,15246
36418,4900
246582,2284
15034,179668
130626,220274
38282,5016
63589,137
63589,5016
499734,171454
128080,4807
128080,189036
128080,457388
128080,44625
128080,19579
128080,270504
3858,5016
3858,45739
3858,192058
469096,513482
82932,168734
82932,3643
82932,37000
76934,38971
17934,15657
308598,189036
496116,496446
263966,236494
68339,44727
67320,82612
9673,68770
65870,73715
65870,126502
65870,28938
65870,7680
40866,11744
144944,32061
144944,28938
144944,5016
144944,96
144944,76078
6479,46273
327206,28938
83537,20752
119330,63173
354672,623746
75239,28938
75239,33317
75239,42334
118112,506998
73715,165318
146570,194408
71709,41278
5887cae41d9b7,99508
2a914f56-7787-4380-bb75-1b20f7453767,7
2a914f56-7787-4380-bb75-1b20f7453767,233780
2a914f56-7787-4380-bb75-1b20f7453767,4
2a914f56-7787-4380-bb75-1b20f7453767,5016
2a914f56-7787-4380-bb75-1b20f7453767,28938
2a914f56-7787-4380-bb75-1b20f7453767,11744
5016,13208
5016,1357
5016,7253
5016,20299
5016,18390
5016,58406
5016,7629
5016,34206
5016,41278
5016,73853
135770,28938
135770,18483
135770,9688
63776,64152
63776,141422
63776,128836
63776,48818
63776,54429
63776,64213
569568,134200
569568,709146
144060,295406
81890,28938
81890,5016
81890,46390
81890,20752
81890,74594
372934,107652
233780,73715
233780,28257
233780,382752
233780,79628
233780,34206
233780,2477
233780,15773
233780,69737
233780,1807
233780,64701
240786,28938
549154,556386
27,7
27,185
27,8
213886,8988
189720,4
189720,5016
189720,20752
89346,233780
31986,197126
31986,3471
31986,146476
199580,57675
199580,20589
199580,41278
199580,7680
199580,20752
199580,30951
199580,5592
199580,73853
199580,84443
199580,6990
105290,56363
143366,107442
175434,84233
619258,582924
69737,36627
69737,84443
69737,18390
69737,5016
69737,74206
69737,81941
20589,233780
20589,19728
20589,30951
20589,14199
20589,73853
20589,199580
20589,3526
20589,18390
20589,45778
20589,78172
327882,429528
15773,25498
15773,5016
45739,3858
358700,131640
106518,261856
228382,45778
81475,243764
81475,80592
80539,52963
367000,283912
70246,56706
3022,233780
3022,328094
3022,177104
3022,14709
3022,16128
293224,128836
293224,46347
293224,18390
293224,67789
335070,73715
270620,24230
22821,238114
56363,12712
56363,63627
56363,105290
634352,370226
1595,196454
1595,2996
1595,5016
1595,68427
1595,96
1595,64213
1595,58162
1595,14175
178414,287584
178414,248528
274936,69530
41278,7
41278,68571
41278,37366
280996,509838
280996,18034
280996,268034
280996,235998
280996,83492
7680,20752
7680,11744
7680,28938
7680,5016
7680,5592
7680,76803
71063,5016
60242,5016
114696,12178
114696,233780
114696,5169
114696,28938
114696,114612
44070,59766
428796,428802
235402,11744
235402,180356
235402,128836
235402,55931
235402,144158
81705,81701
45340,5016
3623,72893
180002,181108
42235,16130
38177,11744
562250,354672
562250,623746
20234,475444
20234,124724
10693,16880
220118,175262
43152,334874
43152,89710
43152,5016
188510,28938
525288,125918
265608,113004
54429,13708
54429,14199
54429,84443
54429,196934
54429,233780
54429,382752
54429,199580
54429,29633
54429,302704
54429,180356
259098,180356
259098,135006
259098,256920
259098,226246
259098,4
259098,18390
259098,11744
259098,54429
259098,128836
